close,epoch,high,low,open
1.07677,1714754042,1.07684,1.07657,1.07673
1.07635,1714754700,1.07688,1.07617,1.07677
1.07611,1714755600,1.07644,1.07608,1.07636
1.07628,1714756500,1.07637,1.07592,1.07611
1.0766,1714757400,1.07669,1.07628,1.07628
1.0765,1714758300,1.07677,1.0765,1.0766
1.07655,1714759200,1.07668,1.07637,1.0765
1.07656,1714760100,1.07672,1.07653,1.07655
1.07665,1714761000,1.07679,1.07654,1.07656
1.07675,1714761900,1.07682,1.07654,1.07665
1.07657,1714762800,1.07689,1.07644,1.07675
1.0769,1714763700,1.07691,1.07648,1.07656
1.07676,1714764600,1.07694,1.07674,1.0769
1.07642,1714765500,1.07681,1.07639,1.07677
1.07668,1714766400,1.07669,1.07633,1.07642
1.07656,1714767300,1.0767,1.07652,1.07668
1.07644,1714768200,1.07656,1.07636,1.07656
1.07634,1714769100,1.07645,1.07633,1.07644
1.07586,1714953600,1.07596,1.07553,1.07584
1.07626,1714954500,1.07627,1.07587,1.07587
1.07647,1714955400,1.07653,1.07624,1.07626
1.07676,1714956300,1.0769,1.07644,1.07647
1.07675,1714957200,1.07694,1.07665,1.07676
1.07656,1714958100,1.077,1.07645,1.07675
1.07657,1714959000,1.07689,1.07629,1.07656
1.07702,1714959900,1.07709,1.07644,1.07657
1.0769,1714960800,1.07717,1.07687,1.07702
1.077,1714961700,1.07703,1.07685,1.0769
1.07677,1714962600,1.07701,1.07672,1.077
1.07654,1714963500,1.07679,1.07649,1.07677
1.07639,1714964400,1.07669,1.07639,1.07653
1.07624,1714965300,1.07641,1.07624,1.07639
1.07643,1714966200,1.07649,1.07623,1.07626
1.07648,1714967100,1.0766,1.07636,1.07643
1.07625,1714968000,1.07648,1.07624,1.07648
1.07639,1714968900,1.07642,1.07625,1.07625
1.07645,1714969800,1.07655,1.07639,1.07639
1.07631,1714970700,1.07649,1.0763,1.07645
1.07647,1714971600,1.07651,1.07626,1.0763
1.07608,1714972500,1.07651,1.07605,1.07648
1.07619,1714973400,1.07629,1.076,1.07608
1.07608,1714974300,1.07621,1.07604,1.07619
1.07637,1714975200,1.07646,1.07606,1.07609
1.07612,1714976100,1.07641,1.07602,1.07637
1.07643,1714977000,1.07653,1.07595,1.07612
1.0763,1714977900,1.07651,1.07606,1.07643
1.07654,1714978800,1.07659,1.07613,1.0763
