close,epoch,high,low,open
1.09765,1701254179,1.09778,1.09714,1.09715
1.09848,1701255600,1.0985,1.09714,1.09767
1.09847,1701259200,1.09888,1.09793,1.09847
1.09728,1701262800,1.09947,1.09719,1.09854
1.09767,1701266400,1.09905,1.09621,1.09728
1.09749,1701270000,1.09908,1.09602,1.09768
1.09686,1701273600,1.09778,1.09618,1.0975
1.09762,1701277200,1.09783,1.0966,1.09685
1.09846,1701280800,1.09857,1.09725,1.09761
1.09833,1701284400,1.0995,1.09772,1.09846
1.09724,1701288000,1.0984,1.09712,1.09832
1.09696,1701291600,1.09749,1.09685,1.09722
1.09722,1701295200,1.0973,1.0968,1.09694
1.09735,1701298800,1.09743,1.09705,1.09722
1.09825,1701302400,1.0984,1.09722,1.09734
1.09697,1701306000,1.09827,1.09688,1.09827
1.09768,1701309600,1.0978,1.09673,1.09698
1.09745,1701313200,1.09774,1.09732,1.09766
1.0969,1701316800,1.09763,1.09684,1.09745
1.09724,1701320400,1.09731,1.09652,1.0969
1.09788,1701324000,1.0982,1.09722,1.09723
1.09511,1701327600,1.09791,1.09411,1.09788
1.09234,1701331200,1.09594,1.09205,1.09516
1.09252,1701334800,1.09391,1.09201,1.09235
1.0918,1701338400,1.09304,1.09098,1.09252
1.09159,1701342000,1.09194,1.09091,1.09182
1.09255,1701345600,1.09318,1.0911,1.09159
1.0916,1701349200,1.09486,1.09142,1.09255
1.09087,1701352800,1.09226,1.08928,1.0916
1.091,1701356400,1.09184,1.08944,1.09088
1.09068,1701360000,1.09171,1.09017,1.09104
1.08902,1701363600,1.09122,1.08883,1.09068
1.08892,1701367200,1.09001,1.08837,1.08903
1.08902,1701370800,1.0895,1.08849,1.08896
1.08851,1701374400,1.08921,1.08794,1.08901
1.08881,1701378000,1.08915,1.08843,1.08852
1.08914,1701381600,1.08923,1.08836,1.08876
1.08918,1701385200,1.08948,1.08897,1.08915
1.0902,1701388800,1.09031,1.08917,1.08918
1.0907,1701392400,1.09102,1.09015,1.09019
1.09077,1701396000,1.09129,1.09064,1.09071
1.09008,1701399600,1.09095,1.08997,1.09078
1.09069,1701403200,1.09069,1.08983,1.09008
1.0912,1701406800,1.09123,1.09051,1.09069
1.09091,1701410400,1.0912,1.09065,1.09117
1.08948,1701414000,1.0912,1.08946,1.0909
1.08934,1701417600,1.0903,1.08862,1.08948
1.08977,1701421200,1.09047,1.08899,1.08933
1.08906,1701424800,1.09037,1.08854,1.08979
1.08974,1701428400,1.08975,1.08827,1.08908
1.08768,1701432000,1.09012,1.08758,1.08975
1.08679,1701435600,1.08847,1.08666,1.08767
1.08446,1701439200,1.08703,1.08415,1.08677
